CATEGORY,TEAM,TALENT NAME,DATE,TIME START,TIME END,LOCATION,ADDRESS,CITY,STATE,ZIP,URL TO SITE OR FLYER,PRESENTED BY,ADDITIONAL INFO,,
MLB,Dodgers,Tommy Lasorda,9/28/2013,10:00am,12:00pm,Long Beach Convention Center,100 South Pine Ave.,Long Beach,CA,90802,http://www.longbeachexpo.com/visitors/attractions/autographs,Long Beach Expo,"Public signing. $89 signature on any item. For details, please go to website or call 888-743-9316",,
MLB,Dodgers,A.J. Ellis,9/28/2013,11:00am,12:30pm,Long Beach Convention Center,100 South Pine Ave.,Long Beach,CA,90802,http://www.longbeachexpo.com/visitors/attractions/autographs,Long Beach Expo,"Public signing. $29 signature on any item. For details, please go to website or call 888-743-9316",,
MLB,Dodgers,Darryl Strawberry,9/28/2013,12:00am,1:30pm,Long Beach Convention Center,100 South Pine Ave.,Long Beach,CA,90802,http://www.longbeachexpo.com/visitors/attractions/autographs,Long Beach Expo,"Public signing. $39 signature on any item. For details, please go to wesbite or call 888-743-9316",,
MLB,Dodgers,Kenley Jansen,9/28/2013,11:00am,12:30pm,Long Beach Convention Center,100 South Pine Ave.,Long Beach,CA,90802,http://www.longbeachexpo.com/visitors/attractions/autographs,Long Beach Expo,"Public signing. $35 signature on any item. For details, please go to website or call 888-743-9316",,
MLB,,Jose Canseco,10/26/2013,1:00pm,4:00pm,Harry's Dugout,10715 W Beverly Blvd,Whittier,CA,90601,,,"Public signing. For details, please call 310-606-1548",,
MLB,Los Angeles Dodgers,Paul Lo Duca,9/29/2013,TBA,TBA,Manuel's El Tepeyac Caf‚,13131 Crossroads Pkwy South,City of Industry,CA,91746,,Vin Scully Is My Homeboy,"Public signing. For details, please go to website or call 626-488-9432.",,
MLB,Los Angeles Dodgers,Bill Russell,10/6/2013,,,Manuel?s El Tepeyac Cafe,13131 Crossroads Pkwy South,City of Industry,CA,91746,,,"Public signing. For details, please call 626-488-9432.",,
MLB,Los Angeles Dodgers,Lee Lacy,10/13/2013,5:00pm,,Manuel?s El Tepeyac Cafe,13131 Crossroads Pkwy South,City of Industry,CA,91746,,,"Public signing. For details, please call 626-488-9432.",,
MLB,Los Angeles Dodgers,Charlie Hough,10/13/2013,5:00pm,,Manuel?s El Tepeyac Cafe,13132 Crossroads Pkwy South,City of Industry,CA,91746,,,"Public signing. For details, please call 626-488-9432.",,
MLB,San Francisco Giants,Marco Scutaro,9/28/2013,6:30pm,7:30pm,Lefty's,1859 El Camino Real,Burlingame,CA,94010,http://www.leftyssportscards.com/events.html,Lefty's Sports Cards,"Public signing. For details, please go to website or call 650-697-2274.",,
NFL,San Francisco 49ers,Aldon Smith,10/7/2013,6:30pm,7:30pm,Lefty's,1859 El Camino Real,Burlingame,CA,94010,http://www.leftyssportscards.com/events.html,Lefty's Sports Cards,"Public signing. For details, please go to website or call 650-697-2274.",,
