Etem scores a nice goal,Anaheim Ducks,Goals,Ducks,Red Wings,NHL.com,Emerson Etem,,Anaheim,ANA,CA,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8475770&event=ANA202&server=http://video.ducks.nhl.com/videocenter/&pageurl=http://video.ducks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8475770&event=ANA202&server=http://video.ducks.nhl.com/videocenter/&pageurl=http://video.ducks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Bonino lowers the boom,Anaheim Ducks,Hits,Ducks,Canucks,NHL.com,Nick Bonino,,Anaheim,ANA,CA,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,2,703&event=VAN44&server=http://video.ducks.nhl.com/videocenter/&pageurl=http://video.ducks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,2,703&event=VAN44&server=http://video.ducks.nhl.com/videocenter/&pageurl=http://video.ducks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
Hiller prevents the Flames from taking the lead,Anaheim Ducks,Saves,Ducks,Flames,NHL.com,Jonas Hiller,,Anaheim,ANA,CA,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8473972&event=CGY25&server=http://video.ducks.nhl.com/videocenter/&pageurl=http://video.ducks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8473972&event=CGY25&server=http://video.ducks.nhl.com/videocenter/&pageurl=http://video.ducks.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Ryan and and Smith go at it,Anaheim Ducks,Fights,Ducks,Red Wings,Youtube,,,Anaheim,ANA,CA,<iframe width='235' height='132' src='//www.youtube.com/embed/YWjC-wlMkaw' frameborder='0' allowfullscreen></iframe>
Paille's overtime winner,Boston Bruins,Goals,Bruins,Blackhawks,NHL.com,Daniel Paille,,Boston,BOS,MA,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8470230&event=CHI1055&server=http://video.bruins.nhl.com/videocenter/&pageurl=http://video.bruins.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8470230&event=CHI1055&server=http://video.bruins.nhl.com/videocenter/&pageurl=http://video.bruins.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Paille lays down the hit,Boston Bruins,Hits,Bruins,Blackhawks,NHL.com,Daniel Paille,,Boston,BOS,MA,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,3,416&event=BOS24&server=http://video.bruins.nhl.com/videocenter/&pageurl=http://video.bruins.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,3,416&event=BOS24&server=http://video.bruins.nhl.com/videocenter/&pageurl=http://video.bruins.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
Rask prevents a breakaway goal,Boston Bruins,Saves,Bruins,Lightning,NHL.com,Tuukka Rask,,Boston,BOS,MA,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,2,154&event=BOS89&server=http://video.bruins.nhl.com/videocenter/&pageurl=http://video.bruins.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,2,154&event=BOS89&server=http://video.bruins.nhl.com/videocenter/&pageurl=http://video.bruins.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
Thornton and Barch sqaure off,Boston Bruins,Fights,Bruins,Devils,Youtube,,,Boston,BOS,MA,<iframe width='235' height='132' src='//www.youtube.com/embed/WGrlMO5SVSE' frameborder='0' allowfullscreen></iframe>
Ott wins it in overtime,Buffalo Sabres,Goals,Sabres,Canadiens,NHL.com,Steve Ott,,Buffalo,BUF,NY,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8468505&event=MTL639&server=http://video.sabres.nhl.com/videocenter/&pageurl=http://video.sabres.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8468505&event=MTL639&server=http://video.sabres.nhl.com/videocenter/&pageurl=http://video.sabres.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Scott lays down the hit,Buffalo Sabres,Hits,Sabres,NY Rangers,NHL.com,John Scott,,Buffalo,BUF,NY,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,2,655&event=BUF23&server=http://video.sabres.nhl.com/videocenter/&pageurl=http://video.sabres.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,2,655&event=BUF23&server=http://video.sabres.nhl.com/videocenter/&pageurl=http://video.sabres.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
